source_path,skill_name,origin,decision,reason,license
/tmp/dobeu-claude-skills/skills/algorithmic-art,algorithmic-art,personal,exclude,C3 fail: not v0 domain,Complete terms in LICENSE.txt
/tmp/dobeu-claude-skills/skills/brand-guidelines,brand-guidelines,personal,include-copy,"personal, instruction-only, domain fit",Complete terms in LICENSE.txt
/tmp/dobeu-claude-skills/skills/canvas-design,canvas-design,personal,include-copy,"personal, instruction-only, domain fit",Complete terms in LICENSE.txt
/tmp/dobeu-claude-skills/skills/doc-coauthoring,doc-coauthoring,personal,include-copy,"personal, instruction-only, domain fit",personal
/tmp/dobeu-claude-skills/skills/docx,docx,personal,exclude,C2 fail: requires scripts/pack.py; scripts/unpack.py,Proprietary. LICENSE.txt has complete terms
/tmp/dobeu-claude-skills/skills/frontend-design,frontend-design,personal,include-copy,"personal, instruction-only, domain fit",Complete terms in LICENSE.txt
/tmp/dobeu-claude-skills/skills/internal-comms,internal-comms,personal,exclude,C3 fail: not v0 domain,Complete terms in LICENSE.txt
/tmp/dobeu-claude-skills/skills/mcp-builder,mcp-builder,personal,exclude,C2 fail: requires npx @modelcontextprotocol/insp,Complete terms in LICENSE.txt
/tmp/dobeu-claude-skills/skills/pdf,pdf,personal,exclude,C3 fail: not v0 domain,Proprietary. LICENSE.txt has complete terms
/tmp/dobeu-claude-skills/skills/pptx,pptx,personal,exclude,C2 fail: requires scripts/html2pptx.js; scripts/inventory.py; scripts/pack.py; scripts/rearrange.py; scripts/replace.py,Proprietary. LICENSE.txt has complete terms
/tmp/dobeu-claude-skills/skills/skill-creator,skill-creator,personal,exclude,C2 fail: requires scripts/init_skill.py; scripts/package_skill.py; scripts/rotate_pdf.py,Complete terms in LICENSE.txt
/tmp/dobeu-claude-skills/skills/slack-gif-creator,slack-gif-creator,personal,exclude,C3 fail: not v0 domain,Complete terms in LICENSE.txt
/tmp/dobeu-claude-skills/skills/theme-factory,theme-factory,personal,include-copy,"personal, instruction-only, domain fit",Complete terms in LICENSE.txt
/tmp/dobeu-claude-skills/skills/web-artifacts-builder,web-artifacts-builder,personal,exclude,C2 fail: requires scripts/bundle-artifact.sh; scripts/init-artifact.sh,Complete terms in LICENSE.txt
/tmp/dobeu-claude-skills/skills/webapp-testing,webapp-testing,personal,exclude,C2 fail: requires scripts/with_server.py,Complete terms in LICENSE.txt
/tmp/dobeu-claude-skills/skills/xlsx,xlsx,personal,include-copy,"personal, instruction-only, domain fit",Proprietary. LICENSE.txt has complete terms
/home/ubuntu/.cursor/plugins/cache/chrome-devtools-plugins/8449392/8e8e83e3f8d150689ffb58c3b977eb72016c7b3f/skills/a11y-debugging,a11y-debugging,plugin:chrome-devtools-plugins/8449392/8e8e83e3f8d150689ffb58c3b977eb72016c7b3f,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/chrome-devtools-plugins/8449392/8e8e83e3f8d150689ffb58c3b977eb72016c7b3f/skills/chrome-devtools,chrome-devtools,plugin:chrome-devtools-plugins/8449392/8e8e83e3f8d150689ffb58c3b977eb72016c7b3f,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/chrome-devtools-plugins/8449392/8e8e83e3f8d150689ffb58c3b977eb72016c7b3f/skills/chrome-devtools-cli,chrome-devtools-cli,plugin:chrome-devtools-plugins/8449392/8e8e83e3f8d150689ffb58c3b977eb72016c7b3f,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/chrome-devtools-plugins/8449392/8e8e83e3f8d150689ffb58c3b977eb72016c7b3f/skills/debug-optimize-lcp,debug-optimize-lcp,plugin:chrome-devtools-plugins/8449392/8e8e83e3f8d150689ffb58c3b977eb72016c7b3f,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/chrome-devtools-plugins/8449392/8e8e83e3f8d150689ffb58c3b977eb72016c7b3f/skills/memory-leak-debugging,memory-leak-debugging,plugin:chrome-devtools-plugins/8449392/8e8e83e3f8d150689ffb58c3b977eb72016c7b3f,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/chrome-devtools-plugins/8449392/8e8e83e3f8d150689ffb58c3b977eb72016c7b3f/skills/troubleshooting,troubleshooting,plugin:chrome-devtools-plugins/8449392/8e8e83e3f8d150689ffb58c3b977eb72016c7b3f,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449525/8aa920812f05d5f8c97340775be39e1813885ee9/skills/notebooklm,notebooklm,plugin:claude-code-skills/8449525/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449527/8aa920812f05d5f8c97340775be39e1813885ee9/skills/research,research,plugin:claude-code-skills/8449527/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449532/8aa920812f05d5f8c97340775be39e1813885ee9/skills/security-guidance,security-guidance,plugin:claude-code-skills/8449532/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9/skills/business-operations-skills,business-operations-skills,plugin:claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9/skills/capacity-planner,capacity-planner,plugin:claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9/skills/internal-comms,internal-comms,plugin:claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9/skills/knowledge-ops,knowledge-ops,plugin:claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9/skills/process-mapper,process-mapper,plugin:claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9/skills/procurement-optimizer,procurement-optimizer,plugin:claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9/skills/vendor-management,vendor-management,plugin:claude-code-skills/8449534/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9/skills/channel-economics,channel-economics,plugin:claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9/skills/commercial-forecaster,commercial-forecaster,plugin:claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9/skills/commercial-policy,commercial-policy,plugin:claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9/skills/commercial-skills,commercial-skills,plugin:claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9/skills/deal-desk,deal-desk,plugin:claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9/skills/partnerships-architect,partnerships-architect,plugin:claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9/skills/pricing-strategist,pricing-strategist,plugin:claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9/skills/rfp-responder,rfp-responder,plugin:claude-code-skills/8449536/8aa920812f05d5f8c97340775be39e1813885ee9,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-plugins-official/8449398/d68033bd1a2574262d66b410f3dc1a44e3e70d13/skills/claude-md-improver,claude-md-improver,plugin:claude-plugins-official/8449398/d68033bd1a2574262d66b410f3dc1a44e3e70d13,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13/skills/agent-development,agent-development,plugin:claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13/skills/command-development,command-development,plugin:claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13/skills/hook-development,hook-development,plugin:claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13/skills/mcp-integration,mcp-integration,plugin:claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13/skills/plugin-settings,plugin-settings,plugin:claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13/skills/plugin-structure,plugin-structure,plugin:claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13/skills/skill-development,skill-development,plugin:claude-plugins-official/8449473/d68033bd1a2574262d66b410f3dc1a44e3e70d13,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/claude-plugins-official/8449499/d68033bd1a2574262d66b410f3dc1a44e3e70d13/skills/skill-creator,skill-creator,plugin:claude-plugins-official/8449499/d68033bd1a2574262d66b410f3dc1a44e3e70d13,exclude,C3 fail: plugin outside v0 candidate set,
/home/ubuntu/.cursor/plugins/cache/cursor-public/1411/71364156c14b27466f3d646c8924318154e2321a/skills/ddconfig,ddconfig,plugin:cursor-public/1411/71364156c14b27466f3d646c8924318154e2321a,exclude,C3 fail: not v0 domain,Apache-2.0
/home/ubuntu/.cursor/plugins/cache/cursor-public/1411/71364156c14b27466f3d646c8924318154e2321a/skills/ddsetup,ddsetup,plugin:cursor-public/1411/71364156c14b27466f3d646c8924318154e2321a,include-copy,"plugin skill, permissive license",Apache-2.0
/home/ubuntu/.cursor/plugins/cache/cursor-public/1411/71364156c14b27466f3d646c8924318154e2321a/skills/ddtoolsets,ddtoolsets,plugin:cursor-public/1411/71364156c14b27466f3d646c8924318154e2321a,exclude,C3 fail: not v0 domain,Apache-2.0
/home/ubuntu/.cursor/plugins/cache/cursor-public/32661537/bbcb9ccce59090642ca6dad5d6f0fa485c303539/skills/composio-activity-summary,composio-activity-summary,plugin:cursor-public/32661537/bbcb9ccce59090642ca6dad5d6f0fa485c303539,exclude,C3 fail: not v0 domain,MIT
/home/ubuntu/.cursor/plugins/cache/cursor-public/32661537/bbcb9ccce59090642ca6dad5d6f0fa485c303539/skills/composio-mcp,composio-mcp,plugin:cursor-public/32661537/bbcb9ccce59090642ca6dad5d6f0fa485c303539,exclude,C2 fail: requires COMPOSIO_; composio_,MIT
/home/ubuntu/.cursor/plugins/cache/cursor-public/32704904/d0676ea9bba52b0f97d810dade775de059ccd2bd/skills/analytics,analytics,plugin:cursor-public/32704904/d0676ea9bba52b0f97d810dade775de059ccd2bd,exclude,C2 fail: requires mcp__claude_ai_Apollo_MCP__apo,MIT
/home/ubuntu/.cursor/plugins/cache/cursor-public/32704904/d0676ea9bba52b0f97d810dade775de059ccd2bd/skills/enrich-lead,enrich-lead,plugin:cursor-public/32704904/d0676ea9bba52b0f97d810dade775de059ccd2bd,exclude,C2 fail: requires mcp__claude_ai_Apollo_MCP__apo,MIT
/home/ubuntu/.cursor/plugins/cache/cursor-public/32704904/d0676ea9bba52b0f97d810dade775de059ccd2bd/skills/prospect,prospect,plugin:cursor-public/32704904/d0676ea9bba52b0f97d810dade775de059ccd2bd,exclude,C2 fail: requires mcp__claude_ai_Apollo_MCP__apo,MIT
/home/ubuntu/.cursor/plugins/cache/cursor-public/32704904/d0676ea9bba52b0f97d810dade775de059ccd2bd/skills/sequence-load,sequence-load,plugin:cursor-public/32704904/d0676ea9bba52b0f97d810dade775de059ccd2bd,exclude,C2 fail: requires mcp__claude_ai_Apollo_MCP__apo,MIT
/home/ubuntu/.cursor/plugins/cache/cursor-public/3644/2a8044425c7bddf429c3bdedf3ab61e791d34d65/skills/check-agent-compatibility,check-agent-compatibility,plugin:cursor-public/3644/2a8044425c7bddf429c3bdedf3ab61e791d34d65,exclude,C2 fail: requires subagent,MIT
/home/ubuntu/.cursor/plugins/cache/cursor-public/3644/63d938c2e4a165a0fec1bd0f61a8e325f0cb751e/skills/check-agent-compatibility,check-agent-compatibility,plugin:cursor-public/3644/63d938c2e4a165a0fec1bd0f61a8e325f0cb751e,exclude,C2 fail: requires subagent,MIT
/home/ubuntu/.cursor/plugins/cache/cursor-public/3845/2a8044425c7bddf429c3bdedf3ab61e791d34d65/skills/cli-for-agents,cli-for-agents,plugin:cursor-public/3845/2a8044425c7bddf429c3bdedf3ab61e791d34d65,include-copy,"plugin skill, permissive license",MIT
/home/ubuntu/.cursor/plugins/cache/cursor-public/3845/63d938c2e4a165a0fec1bd0f61a8e325f0cb751e/skills/cli-for-agents,cli-for-agents,plugin:cursor-public/3845/63d938c2e4a165a0fec1bd0f61a8e325f0cb751e,include-copy,"plugin skill, permissive license",MIT
/home/ubuntu/.cursor/plugins/cache/cursor-public/4787/0d426960256fe7e54e05495fab64208e1924f23b/skills/auth0,auth0,plugin:cursor-public/4787/0d426960256fe7e54e05495fab64208e1924f23b,include-copy,"plugin skill, permissive license",Apache-2.0
